id_lote,fecha_hora,tipo_grano,nivel_tostado_objetivo,tamano_lote_kg,humedad_inicial_pct,densidad_grano_g_cm3,tamano_grano_mm,temp_precalentamiento_c,nivel_gas_pct,flujo_aire_pct,velocidad_tambor_rpm,duracion_tostado_min,temp_promedio_secado_c,temp_promedio_maillard_c,temp_promedio_desarrollo_c,temp_final_c,tiempo_primer_crack_min,tiempo_segundo_crack_min,temp_ambiente_c,humedad_pct,tasa_calor_c_por_min,energia_total_unidades,perdida_peso_pct,peso_final_kg,puntaje_color_agtron,puntaje_aroma,puntaje_cuerpo,puntaje_acidez,puntaje_calidad_general,conteo_defectos,aprobacion_calidad,anomalia_proceso
39,1998-05-17 18:28:40.869980,Robusta,Medio,90.6,14.22,1.406,6.05,214.5,86.7,86.2,52.4,12.91,215.3,216.6,217.9,218.8,7.67,11.59,26.4,33.3,0.33,1013.6,14.43,77.53,54.3,8.37,8.22,8.82,9.57,1,1,0
40,1998-05-18 18:28:40.870062,Robusta,Oscuro,77.1,11.41,1.423,6.61,211.7,72.4,91.3,64.4,15.07,217.2,225.6,233.9,239.4,7.64,13.31,16.7,85.6,1.84,841.7,19.21,62.29,11.5,7.85,7.6,8.07,8.89,0,1,0
41,1998-05-19 18:28:40.870140,Mezcla,Ligero,113.02,11.92,1.098,6.97,215.7,75.6,92.2,59.5,11.24,211.1,204.1,197.2,192.6,7.66,,27.5,26.4,-2.06,959.5,8.69,103.2,101.8,6.38,6.14,6.2,6.99,1,0,0
42,1998-05-20 18:28:40.870225,Arabiga,Oscuro,88.48,11.45,1.335,7.74,190.0,86.8,77.9,64.6,17.35,197.9,209.7,221.5,229.4,10.79,14.91,28.9,65.8,2.27,1332.7,17.88,72.66,29.3,8.48,8.43,8.47,9.15,0,1,0
43,1998-05-21 18:28:40.870311,Robusta,Oscuro,117.84,13.63,1.214,5.83,212.1,68.4,86.3,66.6,12.97,218.2,227.4,236.6,242.7,9.58,10.41,21.9,65.7,2.36,1044.8,19.24,95.17,7.2,7.78,7.46,7.5,8.37,1,1,0
44,1998-05-22 18:28:40.870397,Robusta,Medio,85.74,10.24,1.299,7.06,189.1,99.9,67.0,74.6,14.51,196.6,207.9,219.1,226.6,7.58,10.7,28.7,64.8,2.59,1243.0,16.48,71.61,36.3,1.25,1.26,2.1,2.63,6,0,1
45,1998-05-23 18:28:40.870475,Mezcla,Oscuro,102.2,13.31,1.177,6.79,199.1,75.3,92.8,66.5,16.09,204.9,213.7,222.4,228.2,10.4,14.32,42.3,53.8,1.81,1239.2,17.27,84.55,34.1,7.04,7.66,7.37,8.5,1,1,0
46,1998-05-24 18:28:40.870557,Mezcla,Ligero,106.13,11.22,1.239,6.21,207.6,53.3,89.7,61.2,12.19,207.5,207.2,207.0,206.8,6.79,,24.0,19.3,-0.06,689.4,11.82,93.58,79.6,8.38,7.66,8.23,9.15,0,1,0
47,1998-05-25 18:28:40.870636,Arabiga,Oscuro,81.55,11.23,1.397,7.29,221.8,90.7,77.8,55.8,15.77,225.1,230.0,234.9,238.2,8.24,15.07,32.2,55.9,1.04,1166.9,19.16,65.92,11.7,7.75,8.03,7.54,8.9,0,1,0
48,1998-05-26 18:28:40.870731,Mezcla,Oscuro,107.58,11.46,1.34,6.32,215.6,83.7,84.6,69.9,14.11,219.8,226.1,232.4,236.6,9.72,12.49,16.8,59.0,1.49,1270.2,18.36,87.83,14.5,8.88,8.59,9.02,9.58,0,1,0
49,1998-05-27 18:28:40.870825,Arabiga,Medio,76.13,12.35,1.205,7.3,200.8,74.7,78.3,59.5,17.71,204.2,209.2,214.2,217.5,11.65,13.96,28.0,69.6,0.94,1007.0,15.62,64.24,53.2,8.75,8.0,8.85,9.49,0,1,0
50,1998-05-28 18:28:40.870913,Mezcla,Oscuro,136.03,11.47,1.379,7.93,191.9,75.5,77.3,64.3,15.64,199.8,211.6,223.4,231.3,9.58,12.23,32.9,72.5,2.52,1605.5,17.76,111.87,26.0,8.01,7.94,8.62,9.15,0,1,0
51,1998-05-29 18:28:40.871001,Mezcla,Medio,127.18,12.04,1.359,7.05,196.3,88.1,81.1,72.6,13.7,202.4,211.4,220.5,226.6,8.62,13.83,22.0,64.1,2.21,1534.8,16.23,106.54,35.2,7.18,7.02,7.51,8.24,2,1,0
52,1998-05-30 18:28:40.871080,Arabiga,Medio,83.08,12.35,1.225,6.67,221.4,73.7,89.3,72.0,11.2,220.2,218.4,216.7,215.5,5.16,11.52,24.2,95.6,-0.52,685.7,13.26,72.07,57.3,7.53,7.52,7.42,8.65,2,1,0
53,1998-05-31 18:28:40.871197,Robusta,Ligero,106.02,10.47,1.349,6.27,225.2,74.4,78.4,89.9,8.65,221.4,215.7,210.0,206.2,4.03,,27.6,67.5,-2.2,682.2,10.63,94.75,73.0,8.46,9.11,8.27,9.74,0,1,1
54,1998-06-01 18:28:40.871289,Arabiga,Ligero,95.91,8.36,1.338,6.29,223.5,82.8,66.1,58.3,12.78,220.7,216.4,212.1,209.2,8.89,,34.7,58.2,-1.12,1014.9,12.48,83.94,75.4,8.3,8.14,8.35,8.91,1,1,0
55,1998-06-02 18:28:40.871371,Arabiga,Oscuro,110.91,11.58,1.41,6.44,206.2,51.0,89.2,67.8,18.0,209.0,213.3,217.7,220.5,12.89,15.16,33.9,39.2,0.8,1018.4,16.3,92.83,45.8,5.36,5.58,5.16,6.53,1,0,0
56,1998-06-03 18:28:40.871458,Arabiga,Oscuro,108.21,10.12,1.295,8.1,219.4,78.7,75.5,65.5,16.4,223.0,228.3,233.7,237.2,8.76,14.6,16.3,92.6,1.09,1396.1,19.17,87.47,16.4,7.82,8.77,7.85,9.32,0,1,0
57,1998-06-04 18:28:40.871541,Mezcla,Ligero,115.08,11.12,1.351,7.65,213.5,79.3,63.2,57.5,13.57,212.3,210.7,209.0,207.8,8.86,,30.1,85.8,-0.41,1237.9,12.44,100.76,70.5,8.01,8.55,8.23,9.06,0,1,0
58,1998-06-05 18:28:40.871647,Mezcla,Medio,75.34,10.17,1.533,5.26,200.4,59.5,74.0,66.4,12.95,205.4,212.9,220.4,225.4,9.3,8.76,19.5,61.2,1.93,580.4,15.77,63.46,43.4,8.25,7.93,7.89,8.77,0,1,0
59,1998-06-06 18:28:40.871751,Mezcla,Oscuro,72.64,14.99,1.409,7.04,213.6,72.0,83.9,63.5,17.11,217.9,224.2,230.6,234.8,9.31,13.67,17.1,79.4,1.24,894.3,18.9,58.91,18.5,8.97,8.68,8.57,9.79,0,1,0
60,1998-06-07 18:28:40.871859,Mezcla,Medio,76.2,11.3,1.276,5.72,213.3,97.2,82.2,66.3,12.59,216.0,220.1,224.2,227.0,7.48,10.13,25.5,69.4,1.09,932.4,15.98,64.02,32.3,7.38,6.98,7.18,8.1,3,0,0
61,1998-06-08 18:28:40.871950,Mezcla,Oscuro,89.61,10.42,1.434,6.26,223.7,66.9,82.8,58.3,20.29,224.8,226.4,228.0,229.1,12.48,17.88,28.3,56.3,0.26,1216.7,18.7,72.85,30.2,7.51,7.55,7.61,8.65,0,1,0
62,1998-06-09 18:28:40.872039,Mezcla,Medio,79.45,11.37,1.687,5.86,229.6,91.0,60.4,69.6,16.44,227.3,223.8,220.4,218.1,9.66,13.39,16.9,47.0,-0.7,1189.4,15.35,67.25,55.9,3.57,3.78,3.77,4.61,4,0,1
63,1998-06-10 18:28:40.872123,Robusta,Ligero,129.2,11.11,1.559,6.58,194.8,63.1,86.3,57.7,12.12,198.4,203.9,209.3,212.9,6.97,,35.5,35.7,1.5,988.4,13.02,112.38,59.9,6.55,6.61,7.0,8.04,0,1,0
64,1998-06-11 18:28:40.872207,Arabiga,Oscuro,101.13,13.34,1.188,6.68,197.1,79.3,85.0,69.7,13.86,203.8,213.8,223.9,230.6,7.61,11.54,25.7,74.2,2.41,1112.0,17.07,83.87,24.1,7.75,7.83,7.43,8.85,0,1,0
65,1998-06-12 18:28:40.872287,Arabiga,Oscuro,103.77,11.5,1.242,6.87,198.4,89.0,85.7,69.8,14.99,205.5,216.1,226.7,233.8,7.8,12.38,16.7,86.3,2.36,1383.9,18.06,85.03,22.9,8.1,8.03,8.47,9.46,1,1,0
66,1998-06-13 18:28:40.872364,Arabiga,Ligero,120.85,12.34,1.302,5.45,189.0,71.3,73.9,63.5,12.08,192.7,198.3,203.9,207.6,7.18,,28.9,61.3,1.54,1041.9,11.96,106.4,79.3,8.37,7.84,8.26,8.98,0,1,0
67,1998-06-14 18:28:40.872441,Robusta,Ligero,118.28,11.18,1.524,6.62,199.9,67.6,77.0,61.9,12.26,201.1,202.9,204.6,205.8,7.36,,28.5,83.8,0.48,980.5,11.64,104.52,73.9,8.98,9.28,8.52,9.91,0,1,0
68,1998-06-15 18:28:40.872527,Robusta,Oscuro,79.5,11.16,1.124,5.06,213.1,84.1,74.2,44.3,14.91,217.9,225.0,232.2,237.0,7.47,12.85,24.9,71.6,1.6,996.8,18.66,64.66,13.2,8.09,8.84,8.45,9.44,0,1,0
69,1998-06-16 18:28:40.872605,Mezcla,Ligero,93.35,10.17,1.274,7.87,184.4,55.6,94.7,63.3,11.0,189.6,197.3,205.0,210.2,5.99,,39.6,73.6,2.34,571.1,12.14,82.02,71.8,6.81,7.25,7.07,8.21,0,1,0
70,1998-06-17 18:28:40.872683,Mezcla,Oscuro,104.49,13.45,1.534,6.53,193.7,80.5,73.2,81.1,16.27,201.6,213.4,225.3,233.2,9.95,12.48,17.2,84.0,2.43,1369.1,18.32,85.35,27.2,8.68,8.69,8.77,9.37,0,1,0
71,1998-06-18 18:28:40.872800,Robusta,Medio,110.78,12.99,1.186,5.36,227.5,98.7,65.0,75.6,14.83,226.5,224.9,223.3,222.3,11.07,11.97,32.4,61.1,-0.35,1622.6,15.71,93.38,40.2,2.14,2.84,2.7,3.57,2,0,1
72,1998-06-19 18:28:40.872897,Robusta,Medio,70.78,12.37,1.322,6.11,200.0,77.5,78.4,54.3,15.37,204.3,210.8,217.2,221.5,9.49,13.9,18.5,84.3,1.4,843.4,15.71,59.66,47.9,8.36,8.48,8.96,9.64,0,1,0
73,1998-06-20 18:28:40.872994,Robusta,Oscuro,100.45,11.36,1.287,7.15,213.7,75.4,65.1,69.0,12.21,217.2,222.6,227.9,231.5,11.54,12.93,25.6,96.2,1.46,924.6,16.76,83.61,30.9,4.37,4.14,3.66,4.88,3,0,1
74,1998-06-21 18:28:40.873076,Mezcla,Ligero,93.66,11.89,1.09,7.08,226.7,68.8,68.9,67.2,9.93,217.9,204.7,191.5,182.8,7.4,,21.4,43.6,-4.43,639.9,6.33,87.73,123.3,1.0,1.0,1.0,1.36,5,0,1
75,1998-06-22 18:28:40.873161,Arabiga,Ligero,102.72,10.25,1.632,6.26,206.9,66.7,98.6,80.1,10.11,204.5,200.8,197.2,194.8,8.04,,31.6,59.9,-1.2,693.3,8.79,93.69,100.7,3.83,3.38,3.46,4.66,0,0,1
76,1998-06-23 18:28:40.873258,Arabiga,Medio,122.16,9.79,1.271,5.93,177.0,56.8,78.8,77.1,19.43,184.6,195.9,207.3,214.9,10.82,13.93,29.7,55.5,1.95,1348.1,15.6,103.1,60.7,4.95,4.98,5.29,5.81,2,0,1
77,1998-06-24 18:28:40.873337,Arabiga,Medio,73.47,11.98,1.278,6.13,181.1,81.2,74.7,55.6,9.69,188.8,200.5,212.1,219.9,7.59,9.9,21.3,48.0,4.0,577.9,13.68,63.42,50.0,9.31,8.69,8.78,9.94,0,1,0
78,1998-06-25 18:28:40.873430,Mezcla,Ligero,96.94,10.18,1.176,6.32,226.9,86.0,72.0,93.5,11.59,222.5,215.9,209.3,204.9,6.21,,5.6,77.7,-1.9,966.1,11.26,86.03,81.8,8.8,8.96,8.49,9.72,1,1,1
79,1998-06-26 18:28:40.873509,Arabiga,Ligero,83.34,12.35,1.1,8.43,206.2,79.2,71.9,62.5,11.36,205.4,204.2,203.1,202.3,7.45,,21.4,80.4,-0.34,749.6,10.67,74.45,86.6,8.5,8.63,9.29,9.86,0,1,0
80,1998-06-27 18:28:40.873587,Arabiga,Ligero,127.17,11.38,1.176,5.49,204.1,69.6,100.1,79.2,10.45,203.6,202.8,202.0,201.4,6.34,,36.2,61.1,-0.26,925.1,10.22,114.17,86.9,7.98,8.07,7.91,8.74,1,1,0
81,1998-06-28 18:28:40.873664,Robusta,Ligero,101.84,13.94,1.348,6.3,200.6,56.2,88.8,64.4,11.73,204.7,210.8,216.9,221.0,7.34,,19.0,51.5,1.73,671.8,14.51,87.06,53.7,5.5,5.74,5.23,6.53,2,0,0
82,1998-06-29 18:28:40.873756,Arabiga,Ligero,116.2,10.83,1.492,6.55,217.8,80.8,71.5,59.9,13.54,214.9,210.6,206.2,203.3,7.72,,17.4,68.5,-1.07,1272.0,11.53,102.8,80.1,8.53,8.61,8.9,9.91,0,1,0
83,1998-06-30 18:28:40.873858,Robusta,Medio,98.81,12.18,1.141,6.84,202.2,86.8,91.9,85.7,14.87,206.1,211.9,217.7,221.6,9.12,12.29,27.7,54.1,1.31,1275.7,15.59,83.4,50.7,8.53,8.37,8.02,9.34,0,1,0
84,1998-07-01 18:28:40.873937,Robusta,Medio,68.17,10.59,1.495,6.48,190.0,68.9,88.4,69.4,13.64,195.6,204.1,212.5,218.2,7.79,10.67,37.9,53.6,2.06,641.2,14.53,58.27,58.2,8.36,8.73,8.23,9.7,0,1,0
85,1998-07-02 18:28:40.874016,Mezcla,Oscuro,86.44,11.99,1.123,7.45,198.0,77.4,82.8,62.9,17.17,204.9,215.3,225.7,232.6,11.18,13.25,26.0,98.8,2.01,1149.2,18.48,70.47,22.7,8.48,8.13,7.85,9.29,0,1,0
86,1998-07-03 18:28:40.874178,Robusta,Ligero,105.26,12.23,1.395,7.39,211.1,104.7,52.2,80.2,11.8,208.9,205.6,202.3,200.1,8.19,,24.0,16.5,-0.93,1300.0,10.37,94.35,91.3,1.75,2.39,1.81,3.17,1,0,1
87,1998-07-04 18:28:40.874289,Arabiga,Oscuro,96.11,12.61,1.392,5.75,221.3,68.6,88.1,67.9,19.68,223.8,227.6,231.4,233.9,11.46,16.71,22.6,76.0,0.64,1296.7,19.48,77.39,25.1,8.48,8.04,8.73,9.28,0,1,0
88,1998-07-05 18:28:40.874394,Arabiga,Oscuro,125.66,11.34,1.275,6.56,222.4,63.9,82.4,72.8,17.0,225.1,229.2,233.2,235.9,11.2,11.75,30.4,46.9,0.8,1364.6,19.09,101.67,21.8,7.85,8.3,8.14,9.24,1,1,0
89,1998-07-06 18:28:40.874496,Arabiga,Oscuro,126.24,9.98,1.417,5.73,205.5,71.9,56.0,68.4,16.29,212.8,223.9,235.0,242.4,10.38,16.13,25.9,57.9,2.27,1478.8,20.17,100.79,4.5,7.01,7.44,7.35,7.99,0,1,0
90,1998-07-07 18:28:40.874600,Mezcla,Ligero,68.98,12.18,1.114,5.78,195.0,72.5,80.1,73.7,7.79,194.4,193.7,192.9,192.4,9.41,,28.0,56.4,-0.33,390.0,7.62,63.73,102.9,2.9,2.53,2.91,3.91,1,0,1
91,1998-07-08 18:28:40.874696,Arabiga,Ligero,94.01,10.52,1.093,5.01,217.5,72.8,87.7,77.3,13.38,214.4,209.9,205.3,202.3,8.17,,20.1,45.8,-1.13,916.2,11.27,83.42,90.0,8.47,8.56,8.8,9.42,0,1,0
92,1998-07-09 18:28:40.874805,Mezcla,Ligero,92.64,12.27,1.275,7.48,222.4,89.1,62.7,66.7,13.14,219.3,214.6,210.0,206.9,8.52,,25.5,45.1,-1.18,1084.6,12.12,81.41,74.2,7.65,8.18,8.1,8.73,0,1,0
93,1998-07-10 18:28:40.874988,Mezcla,Ligero,70.61,12.6,1.428,7.53,212.1,85.1,98.4,59.0,10.58,209.6,205.8,202.0,199.5,6.08,,36.5,70.6,-1.18,636.3,9.88,63.63,95.7,7.71,7.44,7.65,8.53,2,1,0
94,1998-07-11 18:28:40.875127,Arabiga,Oscuro,111.69,10.02,1.522,6.3,186.8,63.4,75.7,65.4,10.97,192.0,199.9,207.7,212.9,10.62,13.18,19.3,82.2,2.38,777.5,12.68,97.53,63.8,1.0,1.0,1.0,1.21,5,0,1
95,1998-07-12 18:28:40.875249,Mezcla,Oscuro,106.14,9.85,1.246,5.06,199.7,73.9,82.3,66.9,17.81,205.2,213.5,221.8,227.3,9.2,15.67,8.7,63.7,1.55,1396.4,17.6,87.46,31.6,7.26,7.4,7.45,8.2,2,1,0
96,1998-07-13 18:28:40.875390,Robusta,Ligero,87.02,11.59,1.374,7.27,177.6,72.9,68.9,63.4,15.5,183.4,192.0,200.7,206.5,10.2,,40.7,82.5,1.86,983.9,12.74,75.94,73.3,8.48,8.41,8.73,9.46,0,1,0
